VPC ID,Structure,SMILES,Mol Weight,IC50_eGFP,PSA IC50 (uM),% Growth@50uM (MTS),% Peptide Displacement@50uM (FP),% AR Inhibition@50/25uM (eGFP),% AR Inhibition@3uM (eGFP),CV_eGFP (50uM),CV_eGFP (3uM),CV_FP,Half Life,,U-shaper,
13567,,C(C)c1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1,272.35,0.20,0.23,,,,,,,,,,0,
13645,,Fc1c(F)cc2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,337.33,0.30,0.24,,,,,,,,61.00,,0,
13710,,Fc1cc(C)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,333.37,0.20,0.25,,,,,,,,47.90,,0,
13731,,Fc1cc(C#N)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,344.35,0.30,0.26,,,,,,,,114.00,,0,
13653,,Brc1c2[nH]cc(-c3cnc4c(c3)cccc4)c2ccc1,323.19,1.10,0.29,,,,,,,,,,0,
13708,,Fc1c2nc(-c3c4c(c(C)cc(F)c4)[nH]c3)ccc2ccc1,294.31,0.30,0.29,,,,,,,,90.00,,0,
13717,,Fc1cc(C)c2[nH]cc(-c3nc4c(nc3)ccc(F)c4)c2c1,295.29,0.40,0.33,,,,,,,,120.60,,0,
13603,,Cc1c2[nH]cc(-c3nc4c(cn3)cccc4)c2ccc1,259.31,0.60,0.34,,,,,,,,,,0,
13715,,c1(-c2ccc(-c3ccccc3)cc2)c2c([nH]c1)nccc2,270.34,4.10,0.35,,,,,,,,42.10,,0,
13641,,Clc1cc(F)c2[nH]cc(-c3nc4c(cc3)cccc4)c2c1,296.73,0.10,0.40,,,,,,,,38.00,,0,
13630,,Fc1c(F)cc2[nH]cc(-c3nc4c(cc3)ccc(F)c4)c2c1,298.27,0.60,0.43,,,,,,,,77.00,,0,
13656,,Fc1c2c(-c3nc4c(cc3)cccc4)c[nH]c2c(F)cc1,280.28,1.00,0.46,,,,,,,,,,0,
13675,,c1(-c2cc3c(cc2)cccc3)c2c([nH]c1)cncc2,244.30,0.50,0.47,,,,,,,,3.00,,0,
13691,,O=C(NC)c1c2c(nc(-c3c4c([nH]c3)cccc4)cc2)ccc1,301.35,0.40,0.48,,,,,,,,32.10,,0,
13587,,c1(-c2c3c([nH]c2)cccc3)nc2c(cn1)cccc2,245.29,0.80,0.53,,,,,,,,,,0,
13639,,Clc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2c(F)cc1,296.73,0.50,0.54,,,,,,,,12.00,,0,
13614,,Fc1c(F)cc2[nH]cc(-c3nc4c(cc(F)cc4)cc3)c2c1,298.27,1.10,0.60,,,,,,,,42.00,,0,
13628,,c1(-c2cnc3c(c2)cccc3)c2c([nH]c1)cccc2,244.30,0.80,0.61,,,,,,,,,,0,
13655,,Cc1c2[nH]cc(-c3cnccc3)c2ccc1,208.26,1.70,0.61,,,,,,,,,,,
13736,,Brc1ccc(-c2c3c(c(C(=O)OC)ccc3)[nH]c2)cc1,330.18,0.60,0.68,,,,,,,,,,,
13612,,Fc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(C)c1,276.31,1.40,0.81,,,,,,,,,,,
13733,,Cc1c2[nH]cc(-c3ccc(-c4ccccc4)cc3)c2ccc1,283.37,3.80,0.92,,,,,,,,,,,
13600,,Cc1c2c(-c3nc4c(cc3)cccc4)c[nH]c2c(C)cc1,272.35,1.30,0.93,,,,,,,,,,,
13583,,c1(-c2c3c([nH]c2)cncc3)nc2c(cc1)cccc2,245.29,1.10,0.93,,,,,,,,,,,
13586,,Clc1cc(C)c2[nH]nc(-c3nc4c(cc3)cccc4)c2c1,293.75,1.20,0.96,,,,,,,,50.00,,,
13682,,FC(F)(F)c1c2nc(-c3c4c([nH]c3)cc(F)c(F)c4)ccc2ccc1,348.28,0.90,0.99,,,,,,,,,,,
13627,,Clc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(Cl)c1,313.18,1.50,1.16,,,,,,,,154.00,,,
13592,,Cc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(C)c1,272.35,1.60,1.22,,,,,,,,94.00,,,
13625,,Clc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(C)c1,292.77,1.90,1.23,,,,,,,,18.00,,,
13575,,Cc1c2nn(-c3nc4c(cc3)cccc4)cc2ccc1,259.31,3.50,1.36,,,,,,,,,,,
13606,,Clc1cc2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2cc1,292.77,1.60,1.42,,,,,,,,89.00,,,
13735,,Cc1c2[nH]cc(-c3cc(-c4ccccc4)ccc3)c2ncc1,284.36,3.90,1.43,,,,,,,,,,,
13568,,Brc1cc2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,323.19,1.30,1.56,,,,,,,,,,,
13626,,Clc1cc(C)c2[nH]cc(-c3nc4c(cc3)cccc4)c2c1,292.77,2.70,1.65,,,,,,,,40.00,,,
13681,,Clc1c2c(-c3nc4c(cc3)cccc4)c[nH]c2c(C)cc1,292.77,2.50,1.70,,,,,,,,,,,
13577,,Cc1cc2c(-c3nc4c(cc3)cccc4)c[nH]c2cc1,258.32,3.20,1.73,,,,,,,,,,,
13613,,Clc1c(F)c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,296.73,11.50,1.74,,,,,,,,,,,
13652,,Fc1c(C)c2[nH]cc(-c3c(O)cc4c(n3)cccc4)c2cc1,292.31,3.50,1.76,,,,,,,,58.00,,,
13629,,Fc1c(F)cc2[nH]cc(-c3c(O)cc4c(n3)cccc4)c2c1,296.28,4.90,1.78,,,,,,,,,,,
13660,,Fc1c(C)c2[nH]cc(-c3nc4c(cc3)ccc(C)c4)c2cc1,290.34,2.50,1.89,,,,,,,,,,,
13683,,Brc1cc2c(-c3nc4c(cc3)cccc4)c[nH]c2cc1,323.19,2.60,1.91,,,,,,,,,,,
13658,,Cc1c2[nH]cc(-c3nc4c(cc3)ccc(C)c4)c2ccc1,272.35,2.90,2.21,,,,,,,,,,,
13734,,Cc1c2[nH]cc(-c3cc(-c4ccccc4)ccc3)c2ccc1,283.37,11.00,4.13,,,,,,,,,,,
13684,,c1(-c2cnc3c(c2)cccc3)n[nH]c2c1cccc2,245.29,1.40,6.61,,,,,,,,37.00,,,
13569,,Fc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1,262.29,1.60,500.00,,,,,,,,,,,
13570,,Cc1c(-c2nc3c(cc2)cccc3)c2c([nH]1)cccc2,258.32,20.00,500.00,,,,,,,,,,,
13571,,Cn1c2c(c(-c3nc4c(cc3)cccc4)c1)cccc2,258.32,1.10,500.00,,,,,,,,,,,
13572,,n1(-c2nc3c(cc2)cccc3)nc2c(c1)cccc2,245.29,0.70,500.00,,,,,,,,,,,
